bookId,Title,Author,Genre,SubGenre,Height,Publisher
189,Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,228,
190,Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history,180,
191,Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history,180,
193,Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history,180,
194,Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history,180,
195,Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history,180,
196,Mossad,"Baz-Zohar, Michael",nonfiction,history,236,
198,Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,223,
199,20000 Leagues Under the Sea,"Verne, Jules",fiction,novel,190,
201,Batatyachi Chal,Deshpande P L,fiction,novel,200,
202,Hafasavnuk,Deshpande P L,fiction,novel,211,
203,Urlasurla,Deshpande P L,fiction,novel,211,
204,Pointers in C,"Kanetkar, Yashwant",tech,computer_science,213,
205,"Cathedral and the Bazaar, The","Raymond, Eric",tech,computer_science,217,
206,Design with OpAmps,"Franco, Sergio",tech,computer_science,240,
207,Think Complexity,"Downey, Allen",tech,data_science,230,
208,"Devil's Advocate, The","West, Morris",fiction,novel,178,
209,Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,203,
210,Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,171,
211,"World's Great Thinkers, The",,science,physics,189,
212,Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science,230,
213,Broca's Brain,"Sagan, Carl",science,physics,174,
214,Men of Mathematics,"Bell, E T",science,mathematics,217,
215,Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,240,
216,"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal,224,
217,"Arthashastra, The",Kautiyla,philosophy,philosophy,214,
218,We the People,Palkhivala,philosophy,philosophy,216,
219,We the Nation,Palkhivala,philosophy,philosophy,216,
220,"Courtroom Genius, The",Sorabjee,nonfiction,autobiography,217,
222,Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,216,
223,"History of England, Foundation","Ackroyd, Peter",nonfiction,history,197,
